x-axis,1,2,3
second,Volt,Volt,Volt
-43.200E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-43.100E-06,+743.718585E-03,-30.150753E-03,+37.085427E-03
-43.000E-06,+844.221097E-03,+0.0E+00,+37.487437E-03
-42.900E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-42.800E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-42.700E-06,+804.020092E-03,+0.0E+00,+36.884422E-03
-42.600E-06,+763.819087E-03,-20.100502E-03,+37.085427E-03
-42.500E-06,+723.618083E-03,-10.050251E-03,+37.085427E-03
-42.400E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-42.300E-06,+804.020092E-03,+0.0E+00,+37.688442E-03
-42.200E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-42.100E-06,+783.919590E-03,+0.0E+00,+36.884422E-03
-42.000E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-41.900E-06,+783.919590E-03,-40.201005E-03,+36.281407E-03
-41.800E-06,+723.618083E-03,-20.100502E-03,+35.879397E-03
-41.700E-06,+804.020092E-03,-40.201005E-03,+36.482412E-03
-41.600E-06,+804.020092E-03,-0.0E+00,+36.281407E-03
-41.500E-06,+743.718585E-03,-30.150753E-03,+37.085427E-03
-41.400E-06,+723.618083E-03,-20.100502E-03,+37.085427E-03
-41.300E-06,+783.919590E-03,-40.201005E-03,+36.281407E-03
-41.200E-06,+723.618083E-03,-40.201005E-03,+36.281407E-03
-41.100E-06,+743.718585E-03,+0.0E+00,+36.281407E-03
-41.000E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-40.900E-06,+804.020092E-03,+0.0E+00,+36.482412E-03
-40.800E-06,+804.020092E-03,-0.0E+00,+37.889447E-03
-40.700E-06,+723.618083E-03,-30.150753E-03,+37.889447E-03
-40.600E-06,+723.618083E-03,+0.0E+00,+36.281407E-03
-40.500E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-40.400E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-40.300E-06,+723.618083E-03,-30.150753E-03,+36.884422E-03
-40.200E-06,+763.819087E-03,+0.0E+00,+36.683417E-03
-40.100E-06,+723.618083E-03,-40.201005E-03,+36.482412E-03
-40.000E-06,+723.618083E-03,-40.201005E-03,+36.281407E-03
